Region,State,City,Main Tourist Attraction,Time needed to visit (hours),Google Review Rating,Entrance Fee (INR),Type of Attractions,DSLR Allowed,Best Time to visit,Best Time (Months),Nearest Airport,Number of Google Reviews,Dish Name,Veg or Non Veg,Type of Dish,Course
South,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,1.0,4.5,0.0,Nature,Yes,Morning,Oct–Mar,Veer Savarkar International Airport (IXZ),4000,Prawn Masala,Non Veg,Spiced Seafood Curry,Main Course
South,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,1.0,4.8,0.0,Nature,Yes,Morning,Oct–Mar,Veer Savarkar International Airport (IXZ),9000,Crab Meat Curry,Non Veg,Curry,Main Course
South,Andaman and Nicobar Islands,Port Blair,Cellular Jail,1.5,4.7,30.0,Historical,Yes,Afternoon,Oct–Mar,Veer Savarkar International Airport (IXZ),12000,Grilled Lobster,Non Veg,Seafood Grill,Main Course
South,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,1.5,4.4,250.0,Nature,Yes,Morning,Oct–Mar,Veer Savarkar International Airport (IXZ),1500,Coconut Fish Curry,Non Veg,Fish Curry (Coconut base),Main Course
South,Andhra Pradesh,Kurnool,Belum Caves,1.5,4.4,65.0,Natural Wonder,Yes,Afternoon,Nov–Feb,Visakhapatnam Airport (VTZ),11000,Punugulu,Veg,Fried Snack,Snack
South,Andhra Pradesh,Rajahmundry,Papikondalu,2.0,4.3,0.0,Nature,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),3200,Ulavacharu (Horse Gram Stew),Veg,Stew,Main Course
South,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Visakhapatnam Airport (VTZ),49000,Bobbatlu / Puran Poli (Andhra Style),Veg,Sweet Flatbread,Dessert
South,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,1.5,4.5,0.0,Recreational,Yes,Morning,Nov–Feb,Visakhapatnam Airport (VTZ),39000,Gutti Vankaya Kura,Veg,Stuffed Eggplant Curry,Main Course
South,Andhra Pradesh,Kadapa,Gandikota Fort,1.5,4.5,0.0,Historical,Yes,Morning,Nov–Feb,Visakhapatnam Airport (VTZ),1500,Kaja (Andhra Sweet),Veg,Sweet,Dessert
South,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,1.0,4.4,10.0,Wildlife,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),70000,Jonna Roti,Veg,Sorghum Flatbread,Main Course
South,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Vijayawada International Airport (VGA),44000,Pulihora (Tamarind Rice),Veg,Rice Dish,Main Course
South,Andhra Pradesh,Amravati,Amaravathi Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Visakhapatnam Airport (VTZ),4100,Sajja Roti,Veg,Millet Flatbread,Main Course
South,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,1.0,3.8,20.0,Recreational,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),3000,Naatu Kodi Pulusu,Non Veg,Country Chicken Curry,Main Course
South,Andhra Pradesh,Visakhapatnam,Visakha Museum,1.0,4.3,10.0,Cultural,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),6500,Pootharekulu,Veg,Paper Sweet,Dessert
South,Andhra Pradesh,Visakhapatnam,War Memorial,1.0,4.6,0.0,Historical,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),5900,Royyala Iguru,Non Veg,Prawn Masala,Main Course
South,Andhra Pradesh,Visakhapatnam,Borra Caves,2.0,4.5,60.0,Natural Wonder,Yes,Afternoon,Nov–Feb,Visakhapatnam Airport (VTZ),31000,Rasam (Andhra Charu),Veg,Soup,Starter
South,Andhra Pradesh,Visakhapatnam,Submarine Museum,1.0,4.6,40.0,Historical,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),49000,Gongura Pachadi,Veg,Pickle/Chutney,Side
South,Andhra Pradesh,Visakhapatnam,Kailasagiri,2.0,4.5,0.0,Recreational,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),1900,Pesarattu Upma,Veg,Dosa + Upma Combo,Breakfast
South,Andhra Pradesh,Vizianagaram,Simhachalam Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Visakhapatnam Airport (VTZ),59000,Bongu Chicken (Bamboo Chicken),Non Veg,Roast,Main Course
South,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,1.0,4.7,0.0,Religious,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),12000,Ariselu,Veg,Rice Sweet,Dessert
South,Andhra Pradesh,Anantapur,Lepakshi,1.5,4.6,0.0,Historical,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),7500,Gongura Mutton,Non Veg,Mutton Curry,Main Course
South,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,2.0,4.1,20.0,Wildlife,Yes,Afternoon,Nov–Feb,Visakhapatnam Airport (VTZ),25000,Chepa Pulusu,Non Veg,Fish Curry,Main Course
North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,2.0,4.7,0.0,Religious,No,Morning,"Mar–Jun, Oct–Dec",Donyi Polo Airport (HGI),3200,Thenthuk,Veg/Non Veg,Pulled Noodles,Main Course
North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,2.0,4.4,500.0,Wildlife,Yes,All,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),3700,Duck with Kumura,Non Veg,Duck Curry,Main Course
North Eastern,Assam,Majuli,Majuli Island,2.0,4.7,0.0,Cultural,Yes,Morning,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),1000,Ou Tenga Dal,Veg,Sour Lentil,Main Course
North Eastern,Assam,Guwahati,Umananda Island,1.0,4.1,0.0,Nature,Yes,Morning,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),1000,Khar,Veg,Alkaline Veg Curry,Main Course
North Eastern,Assam,Sivasagar,Sivasagar Sivadol,1.0,4.7,0.0,Historical,Yes,All,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),6500,Pitha (Til Pitha),Veg,Rice Cake Sweet,Dessert
North Eastern,Assam,Hajo,Hayagriva Madhava Temple,1.0,4.5,0.0,Religious,Yes,All,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),90000,Jolpan,Veg,Sweet,Breakfast/Refreshment
North Eastern,Assam,Kaziranga,Kaziranga National Park,3.0,4.5,650.0,Wildlife,No,Morning,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),6800,Aloo Pitika,Veg,Mashed Potato,Side
North Eastern,Assam,Guwahati,Kamakhya Temple,2.0,4.6,0.0,Religious,No,All,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),21000,Masor Tenga,Non Veg,Fish Curry (Sour),Main Course
North Eastern,Assam,Manas,Manas National Park,3.0,4.6,500.0,Wildlife,Yes,Morning,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),19000,Smoked Pork with Bamboo Shoot,Non Veg,Pork Curry,Main Course
East,Bihar,Bodh Gaya,Mahabodhi Temple,1.5,4.7,0.0,Religious,Yes,All,Oct–Mar,Jay Prakash Narayan Airport (PAT),20000,Litti Chokha,Veg,Stuffed Wheat Ball + Mash,Main Course
East,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,1.0,4.7,0.0,Religious,Yes,All,Oct–Mar,Jay Prakash Narayan Airport (PAT),25000,Sattu Paratha,Veg,Stuffed Paratha,Main Course
East,Bihar,Patna,Budhha Smriti Park,1.0,4.4,10.0,Cultural,Yes,All,Oct–Mar,Jay Prakash Narayan Airport (PAT),31000,Thekua,Veg,Fried Cookie,Dessert
East,Bihar,Patna,Sanjay Gandhi Biological Park,2.5,4.3,30.0,Wildlife,Yes,All,Oct–Mar,Jay Prakash Narayan Airport (PAT),50000,Khaja,Veg,Layered Sweet,Dessert
Central,Chhattisgarh,Bastar,Chitrakote Falls,1.5,4.6,0.0,Nature,Yes,Morning,Oct–Mar,Swami Vivekananda Airport (RPR),19000,Masala Dosa,Veg,"Crispy, Savory",Breakfast/Main
West,Daman and Diu,Diu,Diu Fort,1.5,4.6,0.0,Historical,Yes,Afternoon,Oct–Mar,Diu Airport (DIU),120000,Ubadiyu,Veg,"Smoky, Spicy",Main Course
West,Daman and Diu,Diu,Naida Caves,1.0,4.5,0.0,Nature,Yes,Afternoon,Oct–Mar,Diu Airport (DIU),60000,Patra Ni Macchi,Non Veg,Mild Spicy,Main Course
North,Delhi,Delhi,India Gate,0.5,4.6,0.0,Historical,Yes,Evening,Oct–Mar,Indira Gandhi International Airport (DEL),260000,Chole Bhature,Veg,Spicy Chickpeas + Fried Bread,Main Course
North,Delhi,New Delhi,Gurudwara Bangla Sahib,1.0,4.8,0.0,Religious,Yes,All,Oct–Mar,Indira Gandhi International Airport (DEL),105000,Aloo Tikki Chaat,Veg,Street Snack,Snack
North,Delhi,Delhi,Humayun's Tomb,2.0,4.5,30.0,Historical,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),40000,Butter Chicken,Non Veg,Creamy Curry,Main Course
North,Delhi,Delhi,Akshardham Temple,5.0,4.6,60.0,Religious,No,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),40000,Daulat ki Chaat,Veg,Foamy Milk Dessert,Dessert
North,Delhi,Delhi,Waste to Wonder Park,2.0,4.1,50.0,Environmental,Yes,Evening,Oct–Mar,Indira Gandhi International Airport (DEL),27000,Nihari,Non Veg,Slow-cooked Meat Stew,Main Course
North,Delhi,Delhi,Jantar Mantar,2.0,4.2,15.0,Scientific,Yes,Morning,Oct–Mar,Indira Gandhi International Airport (DEL),31000,Kulfi Falooda,Veg,Frozen Dessert + Vermicelli,Dessert
North,Delhi,Delhi,Chandni Chowk,3.0,4.2,0.0,Market,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),25000,Parathe (Paranthe Wali Gali),Veg,Stuffed Flatbread,Breakfast
North,Delhi,Delhi,Lotus Temple,1.0,4.5,0.0,Religious,Yes,Evening,Oct–Mar,Indira Gandhi International Airport (DEL),59000,Kebabs (Seekh/Reshmi),Non Veg,Grilled Meat,Snack
North,Delhi,Delhi,Red Fort,2.0,4.5,35.0,Historical,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),150000,Gol Gappe / Pani Puri,Veg,Street Snack,Snack
North,Delhi,Delhi,Sunder Nursery,2.0,4.6,0.0,Botanical,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),16000,Bedmi Puri with Aloo,Veg,Breakfast Combo,Breakfast
North,Delhi,Delhi,Agrasen ki Baoli,1.0,4.2,0.0,Historical,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),41000,Rabri Jalebi,Veg,Sweet,Dessert
North,Delhi,Delhi,Lodhi Garden,1.0,4.5,0.0,Botanical,Yes,All,Oct–Mar,Indira Gandhi International Airport (DEL),48000,Keema Mutter,Non Veg,Minced Meat Curry,Main Course
North,Delhi,Delhi,National Gallery of Modern Art,3.0,4.5,20.0,Artistic,Yes,All,Oct–Mar,Indira Gandhi International Airport (DEL),8000,Karim's Mutton Korma,Non Veg,Mutton Curry,Main Course
North,Delhi,Delhi,National Zoological Park ,3.0,4.1,80.0,Environmental,Yes,All,Oct–Mar,Indira Gandhi International Airport (DEL),41000,Chandni Chowk Kulcha,Veg,Bread + Chole,Main Course
North,Delhi,Delhi,Qutub Minar,1.0,4.5,35.0,Historical,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),137000,Kadai Paneer,Veg,Paneer Curry,Main Course
North,Delhi,Delhi,National Science Centre,5.0,4.4,70.0,Scientific,Yes,All,Oct–Mar,Indira Gandhi International Airport (DEL),23000,Rajma Chawal,Veg,Beans + Rice,Main Course
North,Delhi,New Delhi,Rail Museum,2.0,4.4,50.0,Cultural,Yes,Morning,Oct–Mar,Indira Gandhi International Airport (DEL),24000,Kachori Sabzi,Veg,Snack + Curry,Breakfast
North,Delhi,New Delhi,Jama Masjid,1.0,4.5,0.0,Historical,Yes,All,Oct–Mar,Indira Gandhi International Airport (DEL),49000,Samosa,Veg,Fried Snack,Snack
North,Delhi,Delhi,Garden of Five Senses,2.0,4.1,35.0,Botanical,Yes,Morning,Oct–Mar,Indira Gandhi International Airport (DEL),23000,Moth Kachori,Veg,Snack,Snack
South,Goa,Goa,Miramar Beach,1.5,4.2,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),30000,Ambot Tik,Non Veg,Sour Spicy Curry,Main Course
South,Goa,Goa,Dr. Salim Ali Bird Santuary,2.0,3.9,10.0,Wildlife,Yes,Afternoon,Nov–Feb,Manohar International Airport (GOX),3000,Sannas,Veg,Steamed Rice Cake,Side
South,Goa,Goa,Aguada Beach,2.0,4.5,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),1000,Goan Red Rice,Veg,Staple,Side
South,Goa,Goa,Colva Beach,2.0,4.3,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),10000,Caldeen,Non Veg,Mild Coconut Curry,Main Course
South,Goa,Goa,Calangute Beach,2.0,4.4,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),26000,Pork Vindaloo,Non Veg,Curry,Main Course
South,Goa,Goa,Arambol Beach,2.0,4.6,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),10000,Ros Omelette,Non Veg,Street Snack,Snack
South,Goa,Goa,Baga Beach,2.0,4.5,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),35000,Bebinca,Veg,Dessert,Dessert
South,Goa,Goa,Se Cathedral,1.0,4.5,0.0,Historical,Yes,Afternoon,Nov–Feb,Manohar International Airport (GOX),5000,Sorpotel,Non Veg,Pork Curry,Main Course
South,Goa,Goa,Chapora Fort,1.0,4.2,0.0,Historical,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),19000,Samarachi Kodi,Non Veg,Dry Shrimp Curry,Main Course
South,Goa,Goa,Palolem Beach,2.0,4.6,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),27000,Poi Bread with Chorizo Pao,Non Veg,Bread + Sausage,Snack
South,Goa,Goa,Basilica of Bom Jesus,1.0,4.5,0.0,Historical,Yes,Afternoon,Nov–Feb,Manohar International Airport (GOX),59000,Chicken Cafreal,Non Veg,Spicy Roast,Main Course
South,Goa,Goa,Fort Aguada,1.5,4.2,0.0,Historical,Yes,Morning,Nov–Feb,Manohar International Airport (GOX),95000,Prawn Balchao,Non Veg,Pickled Seafood Curry,Main Course
South,Goa,Goa,Dudhsagar Falls,3.0,4.6,500.0,Nature,Yes,Afternoon,Nov–Feb,Manohar International Airport (GOX),30000,Crab Xec Xec,Non Veg,Coconut Curry,Main Course
South,Goa,Goa,Anjuna Beach,2.0,4.4,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),18000,Goan Fish Curry,Non Veg,Fish Curry,Main Course
West,Gujarat,Gandhinagar,Akshardham,3.0,4.6,0.0,Religious,No,All,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),18000,Surti Locho,Veg,Steamed Snack,Snack
West,Gujarat,Ahmedabad,Kankaria Lake,3.0,4.5,10.0,Recreational,Yes,Afternoon,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),30000,Fafda Jalebi,Veg,Snack + Sweet,Snack
West,Gujarat,Ahmedabad,Manek Chowk,2.0,4.4,0.0,Food,Yes,Night,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),49000,Khandvi,Veg,Gram Flour Rolls,Snack
West,Gujarat,Ahmedabad,Sabarmati Riverfront,1.0,4.6,0.0,Recreational,Yes,Evening,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),10000,Thepla,Veg,Spiced Flatbread,Snack
West,Gujarat,Ahmedabad,Science City,7.0,4.4,500.0,Educational,Yes,All,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),11000,Handvo,Veg,Savoury Cake,Main Course
West,Gujarat,Kevadia,Statue of Unity,3.0,4.6,350.0,Historical,Yes,All,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),67000,Mohanthal,Veg,Sweet,Dessert
West,Gujarat,Rann of Kutch,Rann Utsav,3.0,4.9,7500.0,Cultural,Yes,Evening,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),10000,Patra (Alu Vadi),Veg,Colocasia Roll,Snack
West,Gujarat,Ahmedabad,Sabarmati Ashram,1.5,4.6,0.0,Historical,Yes,Morning,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),35000,Undhiyu,Veg,Mixed Veg Curry,Main Course
West,Gujarat,Somnath,Somnath Temple,2.0,4.8,0.0,Religious,No,Morning,Oct–Mar,Diu Airport (DIU),39000,Dabeli,Veg,Street Burger,Snack
West,Gujarat,Vadodara,Laxmi Vilas Palace,2.0,4.4,200.0,Historical,Yes,Afternoon,Oct–Mar,Vadodara Airport (BDQ),17000,Khichdi with Ghee,Veg,Rice + Lentils,Main Course
West,Gujarat,Bhuj,White Desert,2.5,4.6,0.0,Nature,Yes,Evening,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),12000,Gujarati Kadhi,Veg,Yoghurt Curry,Side
West,Gujarat,Junagadh,Gir National Park,3.0,4.5,3500.0,Wildlife,Yes,Morning,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),8000,Sev Tameta nu Shaak,Veg,Tomato Curry,Main Course
West,Gujarat,Dwarka,Dwarkadhish Temple,2.0,4.7,0.0,Religious,No,Evening,Oct–Mar,Jamnagar Airport (JGA),59000,Lilva Kachori,Veg,Stuffed Snack,Snack
West,Gujarat,Gandhinagar,Dandi Kutir,1.5,4.5,0.0,Historical,Yes,All,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),5000,Basundi,Veg,Milk Dessert,Dessert
North,Haryana,Gurugram,DLF CyberHub,2.0,4.7,0.0,Entertainment,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),71000,Chole Kulche,Veg,Spicy,Snack/Main
North,Haryana,Gurugram,Ambience Mall,2.0,4.6,0.0,Shopping,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),120000,Dahi Kebabs,Veg,"Creamy, Fried",Snack
North,Haryana,Gurugram,Kingdom of Dreams,3.0,4.4,1100.0,Entertainment,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),30000,Chicken Tikka,Non Veg,"Tandoor, Spicy",Snack/Main
North,Himachal Pradesh,Kangra,Kangra Fort,2.0,4.4,150.0,Historical,Yes,All,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),10000,Mittha,Veg,Sweet Rice,Dessert
North,Himachal Pradesh,dalhousie,Dalai Lama Temple,1.5,4.7,0.0,Religious,No,All,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),15000,Chha Gosht,Non Veg,Mutton in Yoghurt Gravy,Main Course
North,Himachal Pradesh,Dalhousie,Khajjiar Lake,1.5,4.5,0.0,Nature,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),10000,Madra,Veg,Chickpea Curry,Main Course
North,Himachal Pradesh,Spiti Valley,Key Monastery,1.0,4.8,0.0,Religious,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),2500,Babru,Veg,Stuffed Flatbread,Snack
North,Himachal Pradesh,Kullu,Great Himalayan National Park,3.0,4.5,50.0,Wildlife,Yes,All,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),20000,Auriya Kaddu,Veg,Pumpkin Curry,Main Course
North,Himachal Pradesh,Chamba,Chamera Lake,2.0,4.4,0.0,Recreational,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),1000,Aktori,Veg,Buckwheat Pancake,Breakfast
North,Himachal Pradesh,Kinnaur,Sangla Valley,2.0,4.5,0.0,Nature,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),1000,Bhey (Lotus Stem Curry),Veg,Curry,Main Course
North,Himachal Pradesh,Palampur,Tea Gardens,1.5,4.6,0.0,Agricultural,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),1500,Sepu Vadi,Veg,Lentil Dumplings Curry,Main Course
North,Himachal Pradesh,Manali,Solang Valley,2.0,4.1,0.0,Adventure,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),5000,Siddu,Veg,Steamed Wheat Bun,Snack
North,Himachal Pradesh,Shimla,Mall Road,1–2,4.6,0.0,Pedestrian shopping promenade,Yes,Evening,"Mar–Jun, Sep–Nov",Shimla Airport (Jubbarhatti) (SLV),3000,Chha Meat,Non Veg,Yoghurt Mutton,Main Course
North,Himachal Pradesh,McLeod Ganj,Triund Trek,5.0,4.8,0.0,Adventure,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),1000,Anardana Chutney,Veg,Chutney,Side
North,Himachal Pradesh,Manikaran,Manikaran Sahib,1.0,4.6,0.0,Religious,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),130000,Chamba Style Rajma,Veg,Rajma Curry,Main Course
North,Himachal Pradesh,Narkanda,Hatu Peak,2.0,4.5,0.0,Nature,Yes,All,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),110000,Tudkiya Bhath,Veg,Spiced Rice,Main Course
North,Himachal Pradesh,Barot,Barot Valley,2.0,4.7,0.0,Nature,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),120000,Gahat (Kulath) Soup,Veg,Soup,Starter
North,Himachal Pradesh,Shoja,Serolsar Lake,2.5,4.4,0.0,Nature,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),90000,Patande,Veg,Crepe,Breakfast
North,Himachal Pradesh,Kufri,Kufri Fun World,5.0,3.8,1500.0,Recreational,Yes,All,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),10000,Luchi with Chana,Veg,Bread + Curry,Breakfast
North,Himachal Pradesh,Mandi,Prashar Lake,1.5,4.6,0.0,Nature,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),1000,Kullu Trout,Non Veg,Fish,Main Course
North,Himachal Pradesh,Shimla,The Ridge,1.0,4.7,0.0,Recreational,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),3000,Dham (Festival Thali),Veg,Traditional Thali,Main Course
North,Himachal Pradesh,Bir Billing,Paragliding Site,2.0,4.8,2500.0,Adventure,Yes,All,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),1000,Chana Madra,Veg,Chickpea Curry,Main Course
North,Jammu and Kashmir,Pahalgam,Betaab Valley,2.0,4.6,100.0,Nature,Yes,All,"Apr–Jun, Sep–Oct",Sheikh ul-Alam International Airport (SXR),11000,Rogan Josh,Non Veg,Kashmiri Specialty,Main Course
